@RELATION celebAds

@ATTRIBUTE image_id  string
@ATTRIBUTE 5_o_Clock_Shadow  {-1,1}
@ATTRIBUTE Arched_Eyebrows {-1,1}
@ATTRIBUTE Attractive  {-1,1}
@ATTRIBUTE Bags_Under_Eyes {-1,1}
@ATTRIBUTE Bald {-1,1}
@ATTRIBUTE Bangs  {-1,1}
@ATTRIBUTE Big_Lips {-1,1}
@ATTRIBUTE Big_Nose  {-1,1}
@ATTRIBUTE Black_Hair {-1,1}
@ATTRIBUTE Blond_Hair {-1,1}
@ATTRIBUTE Blurry {-1,1}
@ATTRIBUTE Brown_Hair {-1,1}
@ATTRIBUTE Bushy_Eyebrows  {-1,1}
@ATTRIBUTE Chubby {-1,1}
@ATTRIBUTE Double_Chin {-1,1}
@ATTRIBUTE Eyeglasses {-1,1}
@ATTRIBUTE Goatee {-1,1}
@ATTRIBUTE Gray_Hair  {-1,1}
@ATTRIBUTE Heavy_Makeup {-1,1}
@ATTRIBUTE High_Cheekbones  {-1,1}
@ATTRIBUTE Male {-1,1}
@ATTRIBUTE Mouth_Slightly_Open {-1,1}
@ATTRIBUTE Mustache {-1,1}
@ATTRIBUTE Narrow_Eyes {-1,1}
@ATTRIBUTE No_Beard  {-1,1}
@ATTRIBUTE Oval_Face {-1,1}
@ATTRIBUTE Pale_Skin {-1,1}
@ATTRIBUTE Pointy_Nose {-1,1}
@ATTRIBUTE Receding_Hairline  {-1,1}
@ATTRIBUTE Rosy_Cheeks {-1,1}
@ATTRIBUTE Sideburns {-1,1}
@ATTRIBUTE Smiling {-1,1}
@ATTRIBUTE Straight_Hair {-1,1}
@ATTRIBUTE Wavy_Hair {-1,1}
@ATTRIBUTE Wearing_Earrings  {-1,1}
@ATTRIBUTE Wearing_Hat {-1,1}
@ATTRIBUTE Wearing_Lipstick {-1,1}
@ATTRIBUTE Wearing_Necklace  {-1,1}
@ATTRIBUTE Wearing_Necktie {-1,1}
@ATTRIBUTE Young {-1,1}

@DATA   
'000001.jpg',-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,1
'000002.jpg',-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
'000003.jpg',-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1
'000004.jpg',-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,1
'000005.jpg',-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1
'000006.jpg',-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1
'000007.jpg',1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1
'000008.jpg',1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
'000009.jpg',-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1
'000010.jpg',-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1
